date,feature_index,NO2,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2023-06-11 00:00:00+00:00,0,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,2023,6,11,6,162,1.2246467991473532e-16,-1.0,0.7907757369376989,-0.6121059825476626
2023-06-12 00:00:00+00:00,0,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,2023,6,12,0,163,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791
2023-06-13 00:00:00+00:00,0,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,2023,6,13,1,164,1.2246467991473532e-16,-1.0,0.48530196253108104,-0.8743466161445821
2023-06-14 00:00:00+00:00,0,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,2023,6,14,2,165,1.2246467991473532e-16,-1.0,0.29936312297335804,-0.9541392564000488
2023-06-15 00:00:00+00:00,0,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,2023,6,15,3,166,1.2246467991473532e-16,-1.0,0.10116832198743272,-0.994869323391895
2023-06-16 00:00:00+00:00,0,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,4.988584162895898e-05,2023,6,16,4,167,1.2246467991473532e-16,-1.0,-0.10116832198743204,-0.9948693233918952
2023-06-17 00:00:00+00:00,0,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,5.289215016546223e-05,2023,6,17,5,168,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488
2023-06-18 00:00:00+00:00,0,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2.37987349880342e-05,2023,6,18,6,169,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822
2023-06-19 00:00:00+00:00,0,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,3.807556579570757e-05,2023,6,19,0,170,1.2246467991473532e-16,-1.0,-0.651372482722222,-0.7587581226927911
2023-06-20 00:00:00+00:00,0,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,4.609809081518071e-05,2023,6,20,1,171,1.2246467991473532e-16,-1.0,-0.7907757369376986,-0.6121059825476627
