date,feature_index,NO2
2023-10-07T00:00:00.000Z,0,3.2621736028552415E-5
2023-10-05T00:00:00.000Z,0,2.7123085564365896E-5
2023-10-03T00:00:00.000Z,0,3.92172750371569E-5
2023-10-08T00:00:00.000Z,0,1.8664515868740452E-5
2023-11-03T00:00:00.000Z,0,
2023-11-05T00:00:00.000Z,0,1.9504549224317696E-5
2023-11-09T00:00:00.000Z,0,5.682373133216364E-5
2023-11-10T00:00:00.000Z,0,4.1349176518408404E-5
2023-11-08T00:00:00.000Z,0,6.6545730226849E-5
2023-11-07T00:00:00.000Z,0,5.545431764630848E-5
2023-11-04T00:00:00.000Z,0,
2023-11-06T00:00:00.000Z,0,3.1059429008508936E-5
2023-12-06T00:00:00.000Z,0,3.261609617766226E-5
2023-12-10T00:00:00.000Z,0,
2023-12-11T00:00:00.000Z,0,5.132233751023055E-5
2023-12-09T00:00:00.000Z,0,5.276881347526796E-5
2023-12-05T00:00:00.000Z,0,4.375175302738097E-5
2023-12-08T00:00:00.000Z,0,
2023-12-07T00:00:00.000Z,0,6.257587000587152E-5
2023-12-12T00:00:00.000Z,0,5.895835092815105E-5
2024-01-11T00:00:00.000Z,0,6.108889312599785E-5
2024-01-12T00:00:00.000Z,0,2.2656456294075618E-5
2024-01-06T00:00:00.000Z,0,
2024-01-09T00:00:00.000Z,0,5.069537466904596E-5
2024-01-10T00:00:00.000Z,0,7.72964429353155E-5
2024-01-08T00:00:00.000Z,0,6.336684236885048E-5
2024-01-07T00:00:00.000Z,0,
2024-01-13T00:00:00.000Z,0,4.089778295666393E-5
2024-02-10T00:00:00.000Z,0,
2024-02-09T00:00:00.000Z,0,2.507712617198894E-5
2024-02-14T00:00:00.000Z,0,
2024-02-07T00:00:00.000Z,0,
2024-02-11T00:00:00.000Z,0,4.585797296385863E-5
2024-02-08T00:00:00.000Z,0,
2024-02-13T00:00:00.000Z,0,3.5081516125501365E-5
2024-02-12T00:00:00.000Z,0,3.44462623615982E-5
2024-05-04T00:00:00.000Z,0,4.3247102356955026E-5
2024-04-29T00:00:00.000Z,0,5.13701420019178E-5
2024-04-27T00:00:00.000Z,0,2.5024228084568715E-5
2024-04-30T00:00:00.000Z,0,2.9268667305509456E-5
2024-05-01T00:00:00.000Z,0,3.1022585832887466E-5
2024-04-28T00:00:00.000Z,0,2.8845529655251196E-5
2024-05-02T00:00:00.000Z,0,4.907902355004874E-5
2024-05-03T00:00:00.000Z,0,6.113933341111988E-5
2023-05-11T00:00:00.000Z,0,
2023-05-14T00:00:00.000Z,0,4.8130122986153964E-5
2023-05-17T00:00:00.000Z,0,6.280399183571503E-5
2023-05-13T00:00:00.000Z,0,3.8981809666438494E-5
2023-05-12T00:00:00.000Z,0,2.592639192494526E-5
2023-05-18T00:00:00.000Z,0,3.530519640359368E-5
2023-05-15T00:00:00.000Z,0,5.935128683631774E-5
2023-05-16T00:00:00.000Z,0,5.1940043704234995E-5
2023-07-10T00:00:00.000Z,0,5.119428586017181E-5
2023-07-06T00:00:00.000Z,0,3.96512980881633E-5
2023-07-07T00:00:00.000Z,0,7.968197132868227E-5
2023-07-09T00:00:00.000Z,0,2.0648305212489505E-5
2023-07-12T00:00:00.000Z,0,1.0000865177990279E-4
2023-07-08T00:00:00.000Z,0,
2023-07-13T00:00:00.000Z,0,7.683317505181644E-5
2023-07-11T00:00:00.000Z,0,6.056735669517366E-5
2023-08-01T00:00:00.000Z,0,1.9556046115414778E-5
2023-08-04T00:00:00.000Z,0,3.6697378810559815E-5
2023-08-02T00:00:00.000Z,0,2.6402343089158577E-5
2023-07-31T00:00:00.000Z,0,2.396380125214726E-5
2023-08-05T00:00:00.000Z,0,4.252121701084638E-5
2023-08-03T00:00:00.000Z,0,3.376764890367203E-5
2023-07-30T00:00:00.000Z,0,2.878805193888737E-5
2023-08-06T00:00:00.000Z,0,1.749289389854126E-5
2023-08-17T00:00:00.000Z,0,4.034481467637566E-5
2023-08-19T00:00:00.000Z,0,3.823287075573141E-5
2023-08-20T00:00:00.000Z,0,2.4941681128135922E-5
2023-08-18T00:00:00.000Z,0,3.492435044268433E-5
2023-08-15T00:00:00.000Z,0,4.4746564220318126E-5
2023-08-21T00:00:00.000Z,0,4.3650435089853554E-5
2023-08-16T00:00:00.000Z,0,3.784862336884699E-5
2023-08-22T00:00:00.000Z,0,3.090071203011891E-5
2024-01-27T00:00:00.000Z,0,3.0461631973189975E-5
2024-01-29T00:00:00.000Z,0,3.864681639242917E-5
2024-01-26T00:00:00.000Z,0,7.816092693246901E-5
2024-01-23T00:00:00.000Z,0,
2024-01-28T00:00:00.000Z,0,
2024-01-22T00:00:00.000Z,0,3.424273333318221E-5
2024-01-25T00:00:00.000Z,0,3.156587514782354E-5
2024-01-24T00:00:00.000Z,0,
2025-02-11T00:00:00.000Z,0,2.6265078607442167E-5
2025-02-12T00:00:00.000Z,0,4.122064362083369E-5
2025-02-13T00:00:00.000Z,0,4.0041916508926076E-5
2025-02-10T00:00:00.000Z,0,
2025-02-14T00:00:00.000Z,0,
